# WaistX WaistY  Z   wxERR   wyErr
1.878055485788460999e+01	1.957289833914432364e+01	0.000000000000000000e+00	2.115635054920634306e-01	2.204892782234162685e-01
1.888489566311445955e+01	1.803926554852539965e+01	1.500000000000000000e+01	2.125360959742188527e-01	2.030191292729391639e-01
1.503506000741332294e+01	1.417625035332210715e+01	3.000000000000000000e+01	1.723422432897242507e-01	1.624979738127526885e-01
1.172504815979421622e+01	1.095780053672110377e+01	3.750000000000000000e+01	1.355898702855815041e-01	1.267173262817995749e-01
9.078247651844346677e+00	8.302751577012807971e+00	4.500000000000000000e+01	1.056290880201568305e-01	9.660587714867489850e-02
6.862599734238463256e+00	6.138702395025568137e+00	5.250000000000000000e+01	8.031813544022881057e-02	7.184582368035817568e-02
5.043850603589030257e+00	4.426827284101867654e+00	5.625000000000000000e+01	5.927826864902278892e-02	5.202665137737904483e-02
3.621606668912801030e+00	3.243339839586907303e+00	6.000000000000000000e+01	4.286829001515379822e-02	3.839081535569062453e-02
2.765388675843392985e+00	2.402925631788657590e+00	6.375000000000000000e+01	3.299654064226846539e-02	2.867164169618628689e-02
1.820104384436920908e+00	1.506198085882380466e+00	6.750000000000000000e+01	2.179419341513192179e-02	1.803543395211573350e-02
1.061381248822768075e+00	1.053986101799454067e+00	7.125000000000000000e+01	1.263608197140770294e-02	1.254804038398482299e-02
1.538834658431386115e+00	1.614014888489056387e+00	8.625000000000000000e+01	1.776139903299026740e-02	1.862913752377377483e-02
3.937924489675733053e+00	3.816526349804934881e+00	1.050000000000000000e+02	4.478671238044955316e-02	4.340602984505267242e-02
5.275605751365709750e+00	5.484530022652879033e+00	1.087500000000000000e+02	5.986290033075365724e-02	6.223358787178429052e-02
5.637244028539627472e+00	5.823311455084383859e+00	1.125000000000000000e+02	6.374805260920429761e-02	6.585217228929181321e-02
9.341907789620131908e+00	9.479785898073657791e+00	1.162500000000000000e+02	1.058438106115268118e-01	1.074059695150735572e-01
7.999569921750723900e+00	8.167357336658106703e+00	1.237500000000000000e+02	9.032604078012047844e-02	9.222058923963581678e-02
1.177636696884954581e+01	1.241201970708008950e+01	1.275000000000000000e+02	1.331363067899552777e-01	1.403226027169896251e-01
1.366014629629387400e+01	1.400377877838621998e+01	1.350000000000000000e+02	1.540937082413869896e-01	1.579700652221109891e-01
1.708481538853965276e+01	1.666422520068816482e+01	1.425000000000000000e+02	1.927041495902956925e-01	1.879602016674660203e-01
