0.1879	0.94
0.1916	0.95
0.1953	0.97
0.1993	0.98
0.2033	0.99
0.2073	1.01
0.2119	1.04
0.2164	1.08
0.2214	1.13
0.2262	1.18
0.2313	1.23
0.2371	1.28
0.2426	1.34
0.2490	1.37
0.2551	1.41
0.2616	1.41
0.2689	1.45
0.2761	1.46
0.2844	1.45
0.2924	1.42
0.3009	1.40
0.3107	1.38
0.3204	1.38
0.3315	1.34
0.3425	1.36
0.3542	1.37
0.3679	1.36
0.3815	1.33
0.3974	1.32
0.4133	1.28
0.4305	1.25
0.4509	1.24
0.4714	1.25
0.4959	1.22
0.5209	1.18
0.5486	1.02
0.5821	0.70
0.6168	0.30
0.6595	0.22
0.7045	0.21
0.7560	0.24
0.8211	0.26
0.8920	0.30
0.9840	0.32
1.0880	0.36
1.2160	0.48
1.3930	0.60
1.6100	0.76
1.9370	1.09
